1225,32,1270,32,1270,42,1225,42,Open Sans
1322,32,1337,32,1337,42,1322,42,Open Sans
1340,32,1365,32,1365,42,1340,42,Open Sans
1365,32,1392,32,1392,42,1365,42,Open Sans
1397,32,1425,32,1425,42,1397,42,Open Sans
1430,32,1495,32,1495,42,1430,42,Open Sans
1387,47,1425,47,1425,57,1387,57,Open Sans
1370,50,1385,50,1385,57,1370,57,Open Sans
1427,50,1470,50,1470,57,1427,57,Open Sans
1222,80,1315,80,1315,105,1222,105,Lato
1317,80,1337,80,1337,100,1317,100,Roboto
1387,80,1412,80,1412,102,1387,102,Lato
1345,85,1385,85,1385,102,1345,102,Nunito
1222,110,1295,110,1295,135,1222,135,Roboto
1327,107,1393,111,1392,135,1326,132,Lato
1395,112,1415,112,1415,130,1395,130,Roboto
1300,115,1325,115,1325,130,1300,130,Work Sans
200,122,272,122,272,140,200,140,Roboto
712,125,740,125,740,135,712,135,Roboto
775,125,800,125,800,135,775,135,Roboto
835,125,875,125,875,132,835,132,Lato
907,125,942,125,942,137,907,137,Roboto
975,125,1010,125,1010,135,975,135,Roboto
1270,137,1295,137,1295,160,1270,160,Lato
1297,142,1342,142,1342,160,1297,160,Lato
1225,145,1267,145,1267,162,1225,162,Nunito
1340,180,1372,180,1372,190,1340,190,Open Sans
1372,180,1395,180,1395,192,1372,192,Open Sans
1392,180,1427,180,1427,190,1392,190,Open Sans
1430,180,1495,180,1495,190,1430,190,Open Sans
1285,195,1342,195,1342,205,1285,205,Open Sans
1342,195,1385,195,1385,205,1342,205,Open Sans
1387,195,1425,195,1425,205,1387,205,Open Sans
1225,197,1265,197,1265,205,1225,205,Open Sans
1427,197,1470,197,1470,205,1427,205,Open Sans
1225,222,1270,222,1270,230,1225,230,Roboto
200,245,437,245,437,312,200,312,Open Sans
455,247,512,247,512,300,455,300,Open Sans
200,317,332,317,332,372,200,372,Open Sans
350,317,432,317,432,375,350,375,Open Sans
202,392,350,392,350,447,202,447,Open Sans
1162,427,1182,427,1182,447,1162,447,Roboto
1227,427,1277,427,1277,450,1227,450,Lato
1110,430,1157,430,1157,452,1110,452,Roboto
1185,432,1225,432,1225,452,1185,452,Roboto
1155,455,1235,458,1234,483,1154,479,Roboto
1115,462,1152,462,1152,477,1115,477,Monserrat
280,500,320,500,320,515,280,515,Roboto
320,500,355,500,355,515,320,515,Lato
387,768,485,771,484,800,386,797,Lato
197,772,222,772,222,797,197,797,Monserrat
230,772,310,772,310,797,230,797,Lato
315,775,379,770,381,798,317,803,Lato
487,775,542,775,542,802,487,802,Roboto
305,812,395,812,395,840,305,840,Lato
195,815,255,815,255,845,195,845,Lato
262,817,300,817,300,845,262,845,Roboto
970,842,995,842,995,857,970,857,Roboto
995,842,1010,842,1010,852,995,852,Roboto
1125,877,1147,877,1147,892,1125,892,Work Sans
1100,898,1156,902,1154,925,1098,922,Work Sans
1110,980,1135,980,1135,992,1110,992,Roboto
1140,980,1175,980,1175,990,1140,990,Roboto
1177,980,1202,980,1202,992,1177,992,Open Sans
1105,995,1127,995,1127,1005,1105,1005,Lato
1130,995,1157,995,1157,1005,1130,1005,Roboto
1160,995,1180,995,1180,1005,1160,1005,Open Sans
1127,1085,1185,1085,1185,1110,1127,1110,Monserrat
252,1097,285,1097,285,1115,252,1115,Lato
287,1095,338,1100,337,1119,286,1114,Lato
755,1097,787,1097,787,1115,755,1115,Open Sans
807,1097,837,1097,837,1115,807,1115,Lato
840,1094,891,1097,889,1120,838,1117,Lato
200,1100,232,1100,232,1115,200,1115,Nunito
235,1100,250,1100,250,1115,235,1115,Work Sans
355,1100,420,1100,420,1117,355,1117,Nunito
477,1100,492,1100,492,1115,477,1115,Work Sans
492,1100,540,1100,540,1115,492,1115,Nunito
545,1100,582,1100,582,1120,545,1120,Poppins
585,1100,640,1100,640,1117,585,1117,Nunito
790,1100,805,1100,805,1115,790,1115,Work Sans
910,1100,970,1100,970,1117,910,1117,Nunito
1157,1115,1170,1115,1170,1125,1157,1125,Roboto
197,1130,222,1130,222,1145,197,1145,Open Sans
235,1130,255,1130,255,1142,235,1142,Open Sans
255,1130,290,1130,290,1145,255,1145,Open Sans
475,1129,518,1132,517,1144,474,1141,Open Sans
752,1130,777,1130,777,1145,752,1145,Open Sans
790,1130,810,1130,810,1145,790,1145,Open Sans
857,1130,900,1130,900,1145,857,1145,Open Sans
302,1132,345,1132,345,1145,302,1145,Open Sans
520,1132,545,1132,545,1142,520,1142,Open Sans
547,1132,587,1132,587,1145,547,1145,Open Sans
587,1132,632,1132,632,1142,587,1142,Open Sans
635,1132,650,1132,650,1142,635,1142,Open Sans
652,1132,687,1132,687,1145,652,1145,Open Sans
810,1132,845,1132,845,1145,810,1145,Open Sans
1130,1132,1152,1132,1152,1140,1130,1140,Lato
