85,5,118,5,118,13,85,13,Lato (bold)
141,5,161,5,161,13,141,13,Rubik
600,5,624,5,624,13,600,13,Poppins
66,6,84,6,84,13,66,13,Roboto
120,6,141,6,141,14,120,14,Rubik
161,6,173,6,173,14,161,14,Poppins
173,6,182,6,182,14,173,14,Rubik
184,6,209,6,209,14,184,14,Rubik
209,6,228,6,228,14,209,14,Rubik
226,6,245,6,245,13,226,13,Raleway
428,6,469,6,469,14,428,14,Roboto
469,6,492,6,492,14,469,14,Roboto
521,6,549,6,549,16,521,16,Work Sans
588,6,600,6,600,13,588,13,Rubik
674,41,686,41,686,54,674,54,Work Sans
50,42,89,42,89,56,50,56,Rubik (bold)
88,42,110,42,110,56,88,56,Monserrat
170,44,197,44,197,53,170,53,Rubik (bold)
221,44,246,44,246,53,221,53,Roboto (bold)
270,44,300,44,300,53,270,53,Roboto (bold)
373,44,416,44,416,53,373,53,Raleway (bold)
324,45,348,45,348,53,324,53,Work Sans (bold)
92,142,116,142,116,152,92,152,Poppins (bold)
117,141,160,141,160,152,117,152,Rubik (bold)
93,165,225,165,225,198,93,198,Rubik (bold)
230,165,350,165,350,205,230,205,Rubik (bold)
93,204,280,204,280,242,93,242,Rubik (bold)
92,265,130,265,130,274,92,274,Monserrat
146,265,189,265,189,274,146,274,Monserrat
189,265,209,265,209,274,189,274,Monserrat
209,265,240,265,240,274,209,274,Monserrat
239,266,270,264,271,275,240,277,Monserrat
272,265,320,265,320,274,272,274,Monserrat
129,266,146,266,146,274,129,274,Monserrat
92,281,110,281,110,289,92,289,Raleway
112,281,118,281,118,289,112,289,Work Sans
186,281,212,281,212,290,186,290,Monserrat
120,282,144,282,144,290,120,290,Raleway
145,282,170,282,170,290,145,290,Raleway
170,282,186,282,186,290,170,290,Monserrat
105,344,137,344,137,353,105,353,Work Sans (bold)
138,344,158,344,158,352,138,352,Source Sans Pro (bold)
164,494,209,496,209,509,163,507,Open Sans (bold)
302,496,325,496,325,505,302,505,Roboto (bold)
326,496,364,496,364,506,326,506,Open Sans (bold)
460,494,486,494,486,505,460,505,Raleway (bold)
488,496,522,496,522,506,488,506,Roboto (bold)
625,496,648,496,648,506,625,506,Roboto (bold)
648,494,675,496,674,507,647,505,Open Sans (bold)
142,497,164,497,164,505,142,505,Roboto (bold)
142,510,168,510,168,518,142,518,Monserrat
186,510,205,510,205,518,186,518,Monserrat
302,510,328,510,328,518,302,518,Monserrat
326,510,338,510,338,518,326,518,Monserrat
338,510,358,510,358,518,338,518,Monserrat
496,510,521,510,521,518,496,518,Monserrat
625,510,662,510,662,518,625,518,Monserrat
168,512,186,512,186,518,168,518,Monserrat
462,512,496,512,496,518,462,518,Monserrat
